,title,company,sal_min_yearly,sal_max_yearly,city_name,state_name
517,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
520,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
523,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
526,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
529,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
532,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
535,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
538,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
541,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
544,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
547,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
550,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
553,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
556,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
559,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
562,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
565,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
568,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
571,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
574,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
577,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
580,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
583,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
586,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
589,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
592,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
595,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
598,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
601,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
604,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
607,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
610,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
613,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
616,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
619,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
622,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
625,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
628,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
631,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
634,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
637,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
640,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
643,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
646,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
649,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
652,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
655,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
658,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
661,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
664,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
667,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
670,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
673,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
676,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
679,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
